Mortgage Type,<= 2.5 ,3,3.5,4,4.5,5,> 5.0,Measure,Agency,Date
SINGLE FAMILY 30Y,*,98.7,99.6,100.7,101.1,99,81.8,AVG. PRICE BOTTOM 5 TRADES,GNMA,01/03/2019
SINGLE FAMILY 30Y,*,99,101,101.7,103.7,103.7,101,2ND QUARTILE PRICE,GNMA,01/03/2019
SINGLE FAMILY 30Y,*,99.2,101.2,102.7,103.8,104.5,105.1,3RD QUARTILE PRICE,GNMA,01/03/2019
SINGLE FAMILY 30Y,*,99.4,101.6,102.8,104.4,105.4,107,4TH QUARTILE PRICE,GNMA,01/03/2019
SINGLE FAMILY 30Y,*,99.7,101.8,103,104.9,107.4,113.8,AVG. PRICE TOP 5 TRADES,GNMA,01/03/2019
SINGLE FAMILY 30Y,*,0.6,0.9,0.9,1.1,2.2,6.4,STANDARD DEVIATION,GNMA,01/03/2019
SINGLE FAMILY 30Y,*,358456.5,89633.7,197559.1,2244867.7,816323.3,164797.8,VOLUME OF TRADES (000'S),GNMA,01/03/2019
SINGLE FAMILY 30Y,*,21,31,39,77,83,224,NUMBER OF TRADES,GNMA,01/03/2019
SINGLE FAMILY 15Y,97.5,99.1,100.6,101.7,102.1,101,102.6,AVERAGE PRICE,FNMA,01/04/2019
SINGLE FAMILY 15Y,98.6,98.7,101.4,102.3,104.4,103.6,102.8,WEIGHTED AVG. PRICE,FNMA,01/04/2019
SINGLE FAMILY 15Y,94.7,96.5,98.1,99.3,100.6,101,102,AVG. PRICE BOTTOM 5 TRADES,FNMA,01/04/2019
SINGLE FAMILY 15Y,96.9,98.8,100.1,101,101.3,*,102,2ND QUARTILE PRICE,FNMA,01/04/2019
SINGLE FAMILY 15Y,97.3,99.3,100.7,102.3,102.5,*,103.2,3RD QUARTILE PRICE,FNMA,01/04/2019
SINGLE FAMILY 15Y,98.6,99.5,101.1,102.9,102.8,*,103.5,4TH QUARTILE PRICE,FNMA,01/04/2019
SINGLE FAMILY 15Y,99.2,100.3,102,103.1,103.6,101,103.3,AVG. PRICE TOP 5 TRADES,FNMA,01/04/2019
SINGLE FAMILY 15Y,1.3,1,0.9,1.4,2,1.5,1,STANDARD DEVIATION,FNMA,01/04/2019
SINGLE FAMILY 15Y,33457.4,140151.6,630294.1,95090.2,4078.8,414.1,198.8,VOLUME OF TRADES (000'S),FNMA,01/04/2019
SINGLE FAMILY 15Y,60,93,130,54,13,6,8,NUMBER OF TRADES,FNMA,01/04/2019
SINGLE FAMILY 15Y,97.9,99.4,100.7,102.3,102,*,*,AVERAGE PRICE,FHLMC,01/04/2019
SINGLE FAMILY 15Y,97.9,99.9,101.5,102.8,102.9,*,*,WEIGHTED AVG. PRICE,FHLMC,01/04/2019
SINGLE FAMILY 15Y,97.3,98.5,100.4,100.1,102,*,*,AVG. PRICE BOTTOM 5 TRADES,FHLMC,01/04/2019
SINGLE FAMILY 15Y,97,99.3,100.1,102.5,*,*,*,2ND QUARTILE PRICE,FHLMC,01/04/2019
SINGLE FAMILY 15Y,98.2,99.3,100.7,102.8,*,*,*,3RD QUARTILE PRICE,FHLMC,01/04/2019
SINGLE FAMILY 15Y,98.5,99.9,101.5,102.8,*,*,*,4TH QUARTILE PRICE,FHLMC,01/04/2019
SINGLE FAMILY 15Y,98.8,100.2,101.5,103.1,102,*,*,AVG. PRICE TOP 5 TRADES,FHLMC,01/04/2019
SINGLE FAMILY 15Y,1,0.6,0.6,1.4,1.8,*,*,STANDARD DEVIATION,FHLMC,01/04/2019
SINGLE FAMILY 15Y,21920.5,30144.5,273756,278468.6,948,*,*,VOLUME OF TRADES (000'S),FHLMC,01/04/2019
SINGLE FAMILY 15Y,16,58,48,31,7,*,*,NUMBER OF TRADES,FHLMC,01/04/2019
SINGLE FAMILY 15Y,0,*,*,102.8,*,*,0,AVERAGE PRICE,GNMA,01/04/2019
SINGLE FAMILY 15Y,0,*,*,102.9,*,*,0,WEIGHTED AVG. PRICE,GNMA,01/04/2019
SINGLE FAMILY 15Y,0,*,*,102.8,*,*,0,AVG. PRICE BOTTOM 5 TRADES,GNMA,01/04/2019
SINGLE FAMILY 15Y,0,*,*,102.8,*,*,0,2ND QUARTILE PRICE,GNMA,01/04/2019
SINGLE FAMILY 15Y,0,*,*,102.8,*,*,0,3RD QUARTILE PRICE,GNMA,01/04/2019
SINGLE FAMILY 15Y,0,*,*,102.9,*,*,0,4TH QUARTILE PRICE,GNMA,01/04/2019
SINGLE FAMILY 15Y,0,*,*,102.9,*,*,0,AVG. PRICE TOP 5 TRADES,GNMA,01/04/2019
SINGLE FAMILY 15Y,0,*,*,0.1,*,*,0,STANDARD DEVIATION,GNMA,01/04/2019
SINGLE FAMILY 15Y,0,*,*,29071,*,*,0,VOLUME OF TRADES (000'S),GNMA,01/04/2019
SINGLE FAMILY 15Y,0,*,*,8,*,*,0,NUMBER OF TRADES,GNMA,01/04/2019
SINGLE FAMILY 30Y,0,97.8,100.1,102,103.7,105.7,103,AVERAGE PRICE,FNMA,01/04/2019
SINGLE FAMILY 30Y,0,98.1,100.4,102.1,104,106,108.2,WEIGHTED AVG. PRICE,FNMA,01/04/2019
SINGLE FAMILY 30Y,0,97.5,97.7,99.6,101.1,102.6,93.3,AVG. PRICE BOTTOM 5 TRADES,FNMA,01/04/2019
SINGLE FAMILY 30Y,0,97.5,99.9,101.8,103.5,105,101.1,2ND QUARTILE PRICE,FNMA,01/04/2019
SINGLE FAMILY 30Y,0,97.8,100,102,103.5,105.9,104.4,3RD QUARTILE PRICE,FNMA,01/04/2019
SINGLE FAMILY 30Y,0,98.1,100.3,102.3,104.1,107.1,107,4TH QUARTILE PRICE,FNMA,01/04/2019
SINGLE FAMILY 30Y,0,98.8,101.7,103.2,105.3,107.7,109.6,AVG. PRICE TOP 5 TRADES,FNMA,01/04/2019
SINGLE FAMILY 30Y,0,0.5,0.7,0.6,0.9,1.7,5.3,STANDARD DEVIATION,FNMA,01/04/2019
SINGLE FAMILY 30Y,0,199098.4,658194.6,1264000.8,1618050.9,227234.5,28369.6,VOLUME OF TRADES (000'S),FNMA,01/04/2019
SINGLE FAMILY 30Y,0,71,145,207,139,49,51,NUMBER OF TRADES,FNMA,01/04/2019
SINGLE FAMILY 30Y,0,97.6,100,101.9,103.6,105.4,103.5,AVERAGE PRICE,FHLMC,01/04/2019
SINGLE FAMILY 30Y,0,98.6,100.5,102.3,103.6,105,106.4,WEIGHTED AVG. PRICE,FHLMC,01/04/2019
SINGLE FAMILY 30Y,0,97.2,99.6,99.8,102.9,104.6,100.3,AVG. PRICE BOTTOM 5 TRADES,FHLMC,01/04/2019
SINGLE FAMILY 30Y,0,97.4,99.8,101.7,103.5,104.9,100,2ND QUARTILE PRICE,FHLMC,01/04/2019
SINGLE FAMILY 30Y,0,97.6,99.8,101.8,103.6,105,105.5,3RD QUARTILE PRICE,FHLMC,01/04/2019
SINGLE FAMILY 30Y,0,97.8,100.3,102.2,103.9,105.9,106.6,4TH QUARTILE PRICE,FHLMC,01/04/2019
