AssetClass,AssetClass2,IGTradeCount,IGUniqueID,IG$Trades,HYTradeCount,HYUniqueID,HY$Trades,Date
NON-AGENCY CMO,P&I,44,19,7959.3,260,89,58451.6,1/2/2019
NON-AGENCY CMO,IO/PO,*,*,*,*,*,*,1/2/2019
NON-AGENCY CMBS,P&I,74,53,105449.1,9,6,10141.2,1/2/2019
NON-AGENCY CMBS,IO/PO,0,0,0,*,*,*,1/2/2019
AGENCY CMBS,P&I,50,28,145200.8,54,29,100110.4,1/2/2019
AGENCY CMBS,IO/PO,0,0,0,0,0,0,1/2/2019
AGENCY CMBS,ABS,315,221,444512.2,42,21,35306.8,1/2/2019
CBO/CDO/CLO,CBO/CDO/CLO,18,14,49717,8,5,24500,1/2/2019
OTHER,OTHER,0,0,0,0,0,0,1/2/2019
NON-AGENCY CMO,P&I,60,39,21725.2,397,161,147488.4,1/3/2019
NON-AGENCY CMO,IO/PO,*,*,*,*,*,*,1/3/2019
NON-AGENCY CMBS,P&I,142,92,334866.6,21,13,88064.2,1/3/2019
NON-AGENCY CMBS,IO/PO,0,0,0,*,*,*,1/3/2019
AGENCY CMBS,P&I,49,34,75762.3,67,38,89406.6,1/3/2019
AGENCY CMBS,IO/PO,0,0,0,*,*,*,1/3/2019
AGENCY CMBS,ABS,327,211,1114667.4,49,33,146811.9,1/3/2019
CBO/CDO/CLO,CBO/CDO/CLO,15,13,40145.8,20,15,132675.8,1/3/2019
OTHER,OTHER,0,0,0,0,0,0,1/3/2019
NON-AGENCY CMO,P&I,49,27,61210,277,151,162725.9,1/4/2019
NON-AGENCY CMO,IO/PO,0,0,0,*,*,*,1/4/2019
NON-AGENCY CMBS,P&I,181,126,705877.3,16,10,36242.2,1/4/2019
NON-AGENCY CMBS,IO/PO,8,7,149566.7,0,0,0,1/4/2019
AGENCY CMBS,P&I,49,31,122411.3,63,34,325053.1,1/4/2019
AGENCY CMBS,IO/PO,0,0,0,0,0,0,1/4/2019
AGENCY CMBS,ABS,470,297,1236862.8,64,47,187077.5,1/4/2019
CBO/CDO/CLO,CBO/CDO/CLO,49,42,163915.6,42,28,91603.5,1/4/2019
OTHER,OTHER,0,0,0,0,0,0,1/4/2019
NON-AGENCY CMO,P&I,204,111,170881.2,288,153,227757.3,1/7/2019
NON-AGENCY CMO,IO/PO,0,0,0,0,0,0,1/7/2019
NON-AGENCY CMBS,P&I,175,126,688600.9,25,13,71841.3,1/7/2019
NON-AGENCY CMBS,IO/PO,5,4,118092.8,0,0,0,1/7/2019
AGENCY CMBS,P&I,64,48,165356.9,86,57,303147.9,1/7/2019
AGENCY CMBS,IO/PO,0,0,0,0,0,0,1/7/2019
AGENCY CMBS,ABS,387,297,954563.2,63,40,165256.1,1/7/2019
CBO/CDO/CLO,CBO/CDO/CLO,59,39,282931.8,23,15,67444.5,1/7/2019
OTHER,OTHER,0,0,0,0,0,0,1/7/2019
NON-AGENCY CMO,P&I,98,62,112830,321,176,235880.9,1/8/2019
NON-AGENCY CMO,IO/PO,0,0,0,0,0,0,1/8/2019
NON-AGENCY CMBS,P&I,292,173,770038.7,29,19,70136.4,1/8/2019
NON-AGENCY CMBS,IO/PO,6,4,394487.9,*,*,*,1/8/2019
AGENCY CMBS,P&I,48,34,98298.7,84,50,358036,1/8/2019
AGENCY CMBS,IO/PO,0,0,0,*,*,*,1/8/2019
AGENCY CMBS,ABS,501,323,1235979.3,64,42,456493.9,1/8/2019
CBO/CDO/CLO,CBO/CDO/CLO,84,49,403260.9,29,21,152885.8,1/8/2019
OTHER,OTHER,0,0,0,0,0,0,1/8/2019
NON-AGENCY CMO,P&I,59,41,77698.8,334,151,265696.1,1/9/2019
NON-AGENCY CMO,IO/PO,0,0,0,*,*,*,1/9/2019
NON-AGENCY CMBS,P&I,179,119,562448.1,20,15,70674.6,1/9/2019
NON-AGENCY CMBS,IO/PO,*,*,*,7,4,137381,1/9/2019
AGENCY CMBS,P&I,31,22,164118.6,79,46,379751.5,1/9/2019
AGENCY CMBS,IO/PO,0,0,0,0,0,0,1/9/2019
AGENCY CMBS,ABS,460,310,1918164.3,75,48,264485.5,1/9/2019
CBO/CDO/CLO,CBO/CDO/CLO,70,47,474260.4,34,20,234372.6,1/9/2019
OTHER,OTHER,0,0,0,0,0,0,1/9/2019
NON-AGENCY CMO,P&I,70,40,131742.6,386,189,508729.4,1/10/2019
NON-AGENCY CMO,IO/PO,0,0,0,*,*,*,1/10/2019
NON-AGENCY CMBS,P&I,234,159,467801.8,43,20,307634.7,1/10/2019
NON-AGENCY CMBS,IO/PO,8,8,359271.3,6,6,305460.5,1/10/2019
AGENCY CMBS,P&I,95,53,242592,78,45,399057.4,1/10/2019
AGENCY CMBS,IO/PO,*,*,*,7,4,244219.7,1/10/2019
AGENCY CMBS,ABS,450,273,1564385.6,77,47,145807.7,1/10/2019
CBO/CDO/CLO,CBO/CDO/CLO,77,46,355620.7,68,39,165192.4,1/10/2019
OTHER,OTHER,*,*,*,*,*,*,1/10/2019
NON-AGENCY CMO,P&I,48,29,153328.5,252,134,298032.4,1/11/2019
NON-AGENCY CMO,IO/PO,0,0,0,*,*,*,1/11/2019
NON-AGENCY CMBS,P&I,292,197,894498,26,14,83837,1/11/2019
NON-AGENCY CMBS,IO/PO,0,0,0,0,0,0,1/11/2019
AGENCY CMBS,P&I,84,46,126434,71,43,249466.1,1/11/2019
AGENCY CMBS,IO/PO,0,0,0,*,*,*,1/11/2019
AGENCY CMBS,ABS,405,257,1000410.2,39,31,141293.2,1/11/2019
CBO/CDO/CLO,CBO/CDO/CLO,82,58,279149.4,52,26,190451.2,1/11/2019
OTHER,OTHER,*,*,*,0,0,0,1/11/2019
NON-AGENCY CMO,P&I,52,37,117013.7,260,142,115875.7,1/14/2019
NON-AGENCY CMO,IO/PO,5,2,2581.3,6,2,1195.6,1/14/2019
NON-AGENCY CMBS,P&I,29,20,21285.4,16,5,10862.8,1/14/2019
NON-AGENCY CMBS,IO/PO,*,*,*,0,0,0,1/14/2019
AGENCY CMBS,P&I,22,17,22423.8,43,26,43027.1,1/14/2019
AGENCY CMBS,IO/PO,*,*,*,0,0,0,1/14/2019
AGENCY CMBS,ABS,305,213,450861.8,34,23,100410.1,1/14/2019
CBO/CDO/CLO,CBO/CDO/CLO,37,28,109895.2,29,19,108907.5,1/14/2019
OTHER,OTHER,0,0,0,0,0,0,1/14/2019
NON-AGENCY CMO,P&I,62,34,95689.4,382,168,392584.1,1/15/2019
NON-AGENCY CMO,IO/PO,0,0,0,17,2,124778.8,1/15/2019
NON-AGENCY CMBS,P&I,49,28,33105.4,10,7,9983,1/15/2019
NON-AGENCY CMBS,IO/PO,*,*,*,0,0,0,1/15/2019
AGENCY CMBS,P&I,46,29,86569.6,49,27,240145.9,1/15/2019
AGENCY CMBS,IO/PO,0,0,0,0,0,0,1/15/2019
AGENCY CMBS,ABS,386,244,717162,81,45,179506.1,1/15/2019
CBO/CDO/CLO,CBO/CDO/CLO,70,49,278748,33,22,114247,1/15/2019
OTHER,OTHER,0,0,0,*,*,*,1/15/2019
NON-AGENCY CMO,P&I,133,61,182001.8,375,196,605849.6,1/16/2019
NON-AGENCY CMO,IO/PO,*,*,*,*,*,*,1/16/2019
NON-AGENCY CMBS,P&I,228,151,487221.5,15,12,55881.1,1/16/2019
NON-AGENCY CMBS,IO/PO,*,*,*,0,0,0,1/16/2019
AGENCY CMBS,P&I,69,43,105703.8,78,47,314296.4,1/16/2019
AGENCY CMBS,IO/PO,8,4,386259.3,10,5,540064,1/16/2019
AGENCY CMBS,ABS,528,326,1185423.3,40,25,120718.5,1/16/2019
CBO/CDO/CLO,CBO/CDO/CLO,68,48,258562.7,33,19,75164,1/16/2019
OTHER,OTHER,0,0,0,0,0,0,1/16/2019
NON-AGENCY CMO,P&I,100,45,436433.3,332,172,1889743.2,1/17/2019
NON-AGENCY CMO,IO/PO,0,0,0,14,2,63415.6,1/17/2019
NON-AGENCY CMBS,P&I,159,110,535736.7,58,22,274427.6,1/17/2019
NON-AGENCY CMBS,IO/PO,6,6,160959.8,*,*,*,1/17/2019
AGENCY CMBS,P&I,54,37,140230.4,55,39,166766.4,1/17/2019
AGENCY CMBS,IO/PO,8,5,2768112.7,8,7,243607.3,1/17/2019
AGENCY CMBS,ABS,348,230,1208783.4,43,28,301816.1,1/17/2019
CBO/CDO/CLO,CBO/CDO/CLO,114,66,546171.4,50,28,226827,1/17/2019
OTHER,OTHER,0,0,0,*,*,*,1/17/2019
NON-AGENCY CMO,P&I,73,42,177453.9,276,133,165062.7,1/18/2019
NON-AGENCY CMO,IO/PO,0,0,0,10,3,108542.4,1/18/2019
NON-AGENCY CMBS,P&I,149,114,472221.1,89,26,144273.4,1/18/2019
NON-AGENCY CMBS,IO/PO,0,0,0,0,0,0,1/18/2019
AGENCY CMBS,P&I,62,33,77536.5,62,40,156067.9,1/18/2019
AGENCY CMBS,IO/PO,0,0,0,9,6,599366.5,1/18/2019
AGENCY CMBS,ABS,298,209,488671.3,52,26,138243.3,1/18/2019
CBO/CDO/CLO,CBO/CDO/CLO,60,46,302913.3,37,21,244997.4,1/18/2019
OTHER,OTHER,0,0,0,0,0,0,1/18/2019
NON-AGENCY CMO,P&I,93,39,48370.5,239,127,210640.1,1/22/2019
NON-AGENCY CMO,IO/PO,0,0,0,*,*,*,1/22/2019
NON-AGENCY CMBS,P&I,168,124,271212.6,27,17,48031.4,1/22/2019
NON-AGENCY CMBS,IO/PO,*,*,*,*,*,*,1/22/2019
AGENCY CMBS,P&I,44,27,123678.7,46,28,86070.6,1/22/2019
AGENCY CMBS,IO/PO,0,0,0,6,3,702190.3,1/22/2019
AGENCY CMBS,ABS,333,233,867411.2,47,26,385236.3,1/22/2019
CBO/CDO/CLO,CBO/CDO/CLO,64,42,349435.6,27,19,85049.2,1/22/2019
OTHER,OTHER,0,0,0,0,0,0,1/22/2019
NON-AGENCY CMO,P&I,136,63,157224,351,176,653537.9,1/23/2019
NON-AGENCY CMO,IO/PO,0,0,0,5,2,21398.7,1/23/2019
NON-AGENCY CMBS,P&I,290,204,590116.1,51,31,154972.7,1/23/2019
NON-AGENCY CMBS,IO/PO,5,4,4079.5,0,0,0,1/23/2019
AGENCY CMBS,P&I,62,43,370929.8,62,38,85571,1/23/2019
AGENCY CMBS,IO/PO,*,*,*,11,8,392988.8,1/23/2019
AGENCY CMBS,ABS,394,288,779296.1,37,22,157390.7,1/23/2019
CBO/CDO/CLO,CBO/CDO/CLO,98,64,349712.3,45,22,182192.4,1/23/2019
OTHER,OTHER,0,0,0,0,0,0,1/23/2019
NON-AGENCY CMO,P&I,132,70,96301.9,357,214,701621.5,1/24/2019
NON-AGENCY CMO,IO/PO,0,0,0,11,6,220406.4,1/24/2019
NON-AGENCY CMBS,P&I,288,170,673848.1,114,81,354397.8,1/24/2019
NON-AGENCY CMBS,IO/PO,*,*,*,*,*,*,1/24/2019
AGENCY CMBS,P&I,71,45,270345.1,107,61,552743.5,1/24/2019
AGENCY CMBS,IO/PO,11,6,587918,6,4,129504.4,1/24/2019
AGENCY CMBS,ABS,530,345,867197.1,113,67,89705,1/24/2019
CBO/CDO/CLO,CBO/CDO/CLO,92,55,458103.3,29,15,121905,1/24/2019
OTHER,OTHER,0,0,0,0,0,0,1/24/2019
NON-AGENCY CMO,P&I,90,46,87485.6,373,192,233365.5,1/25/2019
NON-AGENCY CMO,IO/PO,0,0,0,6,3,44501.8,1/25/2019
NON-AGENCY CMBS,P&I,201,145,488398.9,37,21,218623.1,1/25/2019
NON-AGENCY CMBS,IO/PO,*,*,*,*,*,*,1/25/2019
AGENCY CMBS,P&I,49,29,65918.2,82,40,403504.5,1/25/2019
AGENCY CMBS,IO/PO,*,*,*,11,8,583460.3,1/25/2019
AGENCY CMBS,ABS,379,236,677848.3,49,32,107501.1,1/25/2019
CBO/CDO/CLO,CBO/CDO/CLO,86,65,396491.6,42,24,143382.7,1/25/2019
OTHER,OTHER,0,0,0,0,0,0,1/25/2019
NON-AGENCY CMO,P&I,90,48,444742.7,431,208,87778.2,1/28/2019
NON-AGENCY CMO,IO/PO,*,*,*,6,3,49235.6,1/28/2019
NON-AGENCY CMBS,P&I,198,154,319536.5,28,15,243787.8,1/28/2019
NON-AGENCY CMBS,IO/PO,9,9,23391.7,*,*,*,1/28/2019
AGENCY CMBS,P&I,37,29,33255,60,33,85473.3,1/28/2019
AGENCY CMBS,IO/PO,*,*,*,5,4,225869.5,1/28/2019
AGENCY CMBS,ABS,333,229,1039855.4,76,40,118764.8,1/28/2019
CBO/CDO/CLO,CBO/CDO/CLO,107,64,324569.1,31,19,117550,1/28/2019
OTHER,OTHER,0,0,0,0,0,0,1/28/2019
NON-AGENCY CMO,P&I,112,59,276834.1,665,287,897382.7,1/29/2019
NON-AGENCY CMO,IO/PO,*,*,*,8,3,265.1,1/29/2019
NON-AGENCY CMBS,P&I,216,138,461693,48,38,141370.1,1/29/2019
NON-AGENCY CMBS,IO/PO,*,*,*,84,41,599922.7,1/29/2019
AGENCY CMBS,P&I,78,43,205228.2,109,62,143235.1,1/29/2019
AGENCY CMBS,IO/PO,*,*,*,12,7,439832.3,1/29/2019
AGENCY CMBS,ABS,427,298,718484.8,74,44,140964.6,1/29/2019
CBO/CDO/CLO,CBO/CDO/CLO,118,72,362648,25,17,112389.6,1/29/2019
OTHER,OTHER,0,0,0,0,0,0,1/29/2019
NON-AGENCY CMO,P&I,76,47,458109.9,405,197,1171374.3,1/30/2019
NON-AGENCY CMO,IO/PO,0,0,0,6,4,41671.7,1/30/2019
NON-AGENCY CMBS,P&I,164,128,473833,48,27,148693.2,1/30/2019
NON-AGENCY CMBS,IO/PO,6,6,114882.1,8,5,301838.1,1/30/2019
AGENCY CMBS,P&I,83,46,309362.1,85,40,237819.5,1/30/2019
AGENCY CMBS,IO/PO,*,*,*,5,2,249008.5,1/30/2019
AGENCY CMBS,ABS,455,302,850898.8,57,39,176582.9,1/30/2019
CBO/CDO/CLO,CBO/CDO/CLO,139,83,553903.4,45,27,145363.8,1/30/2019
OTHER,OTHER,0,0,0,0,0,0,1/30/2019
NON-AGENCY CMO,P&I,63,36,394315.4,426,205,933778.6,1/31/2019
NON-AGENCY CMO,IO/PO,0,0,0,37,5,145513.6,1/31/2019
NON-AGENCY CMBS,P&I,171,124,579050.8,52,30,245588.7,1/31/2019
NON-AGENCY CMBS,IO/PO,6,5,205147.6,*,*,*,1/31/2019
AGENCY CMBS,P&I,92,60,362260.1,75,33,334553.6,1/31/2019
AGENCY CMBS,IO/PO,0,0,0,9,4,415049.8,1/31/2019
AGENCY CMBS,ABS,382,249,1188767.2,49,31,157366.1,1/31/2019
CBO/CDO/CLO,CBO/CDO/CLO,47,34,178969.1,35,21,116957.1,1/31/2019
OTHER,OTHER,0,0,0,0,0,0,1/31/2019
NON-AGENCY CMO,P&I,89,46,86737.1,377,168,352336.3,2/1/2019
NON-AGENCY CMO,IO/PO,0,0,0,*,*,*,2/1/2019
NON-AGENCY CMBS,P&I,181,127,570577.2,26,17,131088.8,2/1/2019
NON-AGENCY CMBS,IO/PO,*,*,*,0,0,0,2/1/2019
AGENCY CMBS,P&I,45,33,118319.5,53,29,124509,2/1/2019
AGENCY CMBS,IO/PO,0,0,0,16,8,406301.7,2/1/2019
AGENCY CMBS,ABS,239,162,934600.1,45,30,62631.4,2/1/2019
CBO/CDO/CLO,CBO/CDO/CLO,38,29,111890,35,19,96085.8,2/1/2019
OTHER,OTHER,0,0,0,0,0,0,2/1/2019
NON-AGENCY CMO,P&I,58,35,93075.3,245,111,233230.8,2/4/2019
NON-AGENCY CMO,IO/PO,0,0,0,*,*,*,2/4/2019
NON-AGENCY CMBS,P&I,94,79,293535.6,20,14,87742.7,2/4/2019
NON-AGENCY CMBS,IO/PO,9,6,321886.1,0,0,0,2/4/2019
AGENCY CMBS,P&I,52,38,109101.2,26,18,212422.8,2/4/2019
AGENCY CMBS,IO/PO,0,0,0,*,*,*,2/4/2019
AGENCY CMBS,ABS,268,180,793474.9,28,16,71904.3,2/4/2019
CBO/CDO/CLO,CBO/CDO/CLO,28,22,105525,24,14,132150.7,2/4/2019
OTHER,OTHER,0,0,0,*,*,*,2/4/2019
NON-AGENCY CMO,P&I,79,47,299688.5,433,171,501706.3,2/5/2019
NON-AGENCY CMO,IO/PO,0,0,0,*,*,*,2/5/2019
NON-AGENCY CMBS,P&I,184,125,744184.9,34,21,112381.7,2/5/2019
NON-AGENCY CMBS,IO/PO,7,6,116497.3,5,2,48880,2/5/2019
AGENCY CMBS,P&I,43,27,239359.8,80,46,549031.4,2/5/2019
AGENCY CMBS,IO/PO,*,*,*,*,*,*,2/5/2019
AGENCY CMBS,ABS,359,241,1091445,51,35,162495.7,2/5/2019
CBO/CDO/CLO,CBO/CDO/CLO,72,44,170835,37,26,81302.3,2/5/2019
OTHER,OTHER,0,0,0,0,0,0,2/5/2019
NON-AGENCY CMO,P&I,54,38,103432.5,391,183,250470.4,2/6/2019
NON-AGENCY CMO,IO/PO,0,0,0,*,*,*,2/6/2019
NON-AGENCY CMBS,P&I,257,170,1050750.1,34,18,153483.8,2/6/2019
NON-AGENCY CMBS,IO/PO,10,8,128293.8,0,0,0,2/6/2019
AGENCY CMBS,P&I,70,42,428185.2,65,43,251680.8,2/6/2019
AGENCY CMBS,IO/PO,0,0,0,12,7,1277089.3,2/6/2019
AGENCY CMBS,ABS,401,275,1652732.5,67,52,248867.8,2/6/2019
CBO/CDO/CLO,CBO/CDO/CLO,62,44,248823,54,33,175314.2,2/6/2019
OTHER,OTHER,0,0,0,0,0,0,2/6/2019
NON-AGENCY CMO,P&I,55,35,80363,336,171,419163.3,2/7/2019
NON-AGENCY CMO,IO/PO,0,0,0,*,*,*,2/7/2019
NON-AGENCY CMBS,P&I,242,153,949920.9,50,16,104028.8,2/7/2019
NON-AGENCY CMBS,IO/PO,25,13,301474.3,*,*,*,2/7/2019
AGENCY CMBS,P&I,66,48,170537.6,75,44,302009.4,2/7/2019
AGENCY CMBS,IO/PO,7,5,515289.7,16,9,706213.8,2/7/2019
AGENCY CMBS,ABS,427,281,1300435.2,56,38,139014.8,2/7/2019
CBO/CDO/CLO,CBO/CDO/CLO,82,59,214485.4,44,28,126467.1,2/7/2019
OTHER,OTHER,*,*,*,*,*,*,2/7/2019
NON-AGENCY CMO,P&I,100,65,239256,289,154,258891.1,2/8/2019
NON-AGENCY CMO,IO/PO,*,*,*,*,*,*,2/8/2019
NON-AGENCY CMBS,P&I,170,111,347457.6,36,17,77862.9,2/8/2019
NON-AGENCY CMBS,IO/PO,18,15,232306.4,8,4,79413,2/8/2019
AGENCY CMBS,P&I,83,49,285991.1,63,46,241343.4,2/8/2019
AGENCY CMBS,IO/PO,40,13,266583.2,23,11,1666136.8,2/8/2019
AGENCY CMBS,ABS,353,229,1603189,50,35,135902,2/8/2019
CBO/CDO/CLO,CBO/CDO/CLO,79,56,325769.8,21,16,73136.4,2/8/2019
OTHER,OTHER,0,0,0,*,*,*,2/8/2019
NON-AGENCY CMO,P&I,133,70,78471.5,209,120,168031.5,2/11/2019
NON-AGENCY CMO,IO/PO,0,0,0,0,0,0,2/11/2019
NON-AGENCY CMBS,P&I,157,129,565480.7,18,12,84133.1,2/11/2019
NON-AGENCY CMBS,IO/PO,*,*,*,*,*,*,2/11/2019
AGENCY CMBS,P&I,102,54,256741.8,78,41,185618.1,2/11/2019
AGENCY CMBS,IO/PO,8,4,50538.2,39,15,670313.4,2/11/2019
AGENCY CMBS,ABS,433,287,980281.8,34,25,45151,2/11/2019
CBO/CDO/CLO,CBO/CDO/CLO,80,51,378180.3,30,24,100392.8,2/11/2019
OTHER,OTHER,0,0,0,*,*,*,2/11/2019
NON-AGENCY CMO,P&I,108,55,178766.9,367,161,333318.9,2/12/2019
NON-AGENCY CMO,IO/PO,0,0,0,*,*,*,2/12/2019
NON-AGENCY CMBS,P&I,231,151,854716.9,37,24,177930.3,2/12/2019
NON-AGENCY CMBS,IO/PO,17,10,1208268.5,5,3,20760,2/12/2019
AGENCY CMBS,P&I,72,38,184471,82,49,489449,2/12/2019
AGENCY CMBS,IO/PO,*,*,*,7,5,343605.9,2/12/2019
AGENCY CMBS,ABS,343,248,958863.2,55,33,220398.3,2/12/2019
CBO/CDO/CLO,CBO/CDO/CLO,106,76,407907.2,39,21,272427,2/12/2019
OTHER,OTHER,0,0,0,0,0,0,2/12/2019
NON-AGENCY CMO,P&I,138,67,305502.7,347,192,466282.2,2/13/2019
NON-AGENCY CMO,IO/PO,*,*,*,6,1,2688.9,2/13/2019
NON-AGENCY CMBS,P&I,258,180,837621.3,27,17,97022.1,2/13/2019
NON-AGENCY CMBS,IO/PO,8,5,385001.8,*,*,*,2/13/2019
AGENCY CMBS,P&I,70,41,139469.2,97,54,488180.6,2/13/2019
AGENCY CMBS,IO/PO,*,*,*,12,6,440962.1,2/13/2019
AGENCY CMBS,ABS,443,311,1122513.9,59,37,223514.4,2/13/2019
CBO/CDO/CLO,CBO/CDO/CLO,75,56,340729.8,53,32,178497.4,2/13/2019
OTHER,OTHER,0,0,0,0,0,0,2/13/2019
NON-AGENCY CMO,P&I,162,76,293713.1,353,159,421745.4,2/14/2019
NON-AGENCY CMO,IO/PO,0,0,0,12,6,70848.2,2/14/2019
NON-AGENCY CMBS,P&I,161,118,698152.3,21,14,103984.5,2/14/2019
NON-AGENCY CMBS,IO/PO,25,12,3126150.2,*,*,*,2/14/2019
AGENCY CMBS,P&I,68,36,477508.4,83,46,774688,2/14/2019
AGENCY CMBS,IO/PO,0,0,0,0,0,0,2/14/2019
AGENCY CMBS,ABS,410,291,978194.1,108,64,210035.5,2/14/2019
CBO/CDO/CLO,CBO/CDO/CLO,75,47,575649.1,80,35,700212.6,2/14/2019
OTHER,OTHER,0,0,0,0,0,0,2/14/2019
NON-AGENCY CMO,P&I,61,35,124022.5,258,121,463878.8,2/15/2019
NON-AGENCY CMO,IO/PO,0,0,0,*,*,*,2/15/2019
NON-AGENCY CMBS,P&I,152,113,321336.9,42,28,179460.5,2/15/2019
