Mortgage Type,ARM / Seasoned,3/1,5/1,7/1,10/1,Measure,Agency,Date
ARMS/HYBRIDS,102.3,0,100.1,0,0,WEIGHTED AVG. PRICE,GNMA,01/09/2019
ARMS/HYBRIDS,86.8,0,100,0,0,AVG. PRICE BOTTOM 5 TRADES,GNMA,01/09/2019
ARMS/HYBRIDS,82,0,99.7,0,0,2ND QUARTILE PRICE,GNMA,01/09/2019
ARMS/HYBRIDS,101.3,0,101.1,0,0,3RD QUARTILE PRICE,GNMA,01/09/2019
ARMS/HYBRIDS,102.3,0,102.3,0,0,4TH QUARTILE PRICE,GNMA,01/09/2019
ARMS/HYBRIDS,95.3,0,102.1,0,0,AVG. PRICE TOP 5 TRADES,GNMA,01/09/2019
ARMS/HYBRIDS,12.3,0,1.1,0,0,STANDARD DEVIATION,GNMA,01/09/2019
ARMS/HYBRIDS,787.6,0,52467,0,0,VOLUME OF TRADES (000'S),GNMA,01/09/2019
ARMS/HYBRIDS,8,0,15,0,0,NUMBER OF TRADES,GNMA,01/09/2019
ARMS/HYBRIDS,*,0,*,*,*,AVERAGE PRICE,FNMA,01/10/2019
ARMS/HYBRIDS,*,0,*,*,*,WEIGHTED AVG. PRICE,FNMA,01/10/2019
ARMS/HYBRIDS,*,0,*,*,*,AVG. PRICE BOTTOM 5 TRADES,FNMA,01/10/2019
ARMS/HYBRIDS,*,0,*,*,*,2ND QUARTILE PRICE,FNMA,01/10/2019
ARMS/HYBRIDS,*,0,*,*,*,3RD QUARTILE PRICE,FNMA,01/10/2019
ARMS/HYBRIDS,*,0,*,*,*,4TH QUARTILE PRICE,FNMA,01/10/2019
ARMS/HYBRIDS,*,0,*,*,*,AVG. PRICE TOP 5 TRADES,FNMA,01/10/2019
ARMS/HYBRIDS,*,0,*,*,*,STANDARD DEVIATION,FNMA,01/10/2019
ARMS/HYBRIDS,*,0,*,*,*,VOLUME OF TRADES (000'S),FNMA,01/10/2019
ARMS/HYBRIDS,*,0,*,*,*,NUMBER OF TRADES,FNMA,01/10/2019
ARMS/HYBRIDS,103.7,*,101,*,*,AVERAGE PRICE,FHLMC,01/10/2019
ARMS/HYBRIDS,103.8,*,102.8,*,*,WEIGHTED AVG. PRICE,FHLMC,01/10/2019
ARMS/HYBRIDS,103.7,*,99,*,*,AVG. PRICE BOTTOM 5 TRADES,FHLMC,01/10/2019
ARMS/HYBRIDS,*,*,98.8,*,*,2ND QUARTILE PRICE,FHLMC,01/10/2019
ARMS/HYBRIDS,*,*,101.1,*,*,3RD QUARTILE PRICE,FHLMC,01/10/2019
ARMS/HYBRIDS,*,*,104.7,*,*,4TH QUARTILE PRICE,FHLMC,01/10/2019
ARMS/HYBRIDS,103.7,*,102.4,*,*,AVG. PRICE TOP 5 TRADES,FHLMC,01/10/2019
ARMS/HYBRIDS,0.8,*,2.7,*,*,STANDARD DEVIATION,FHLMC,01/10/2019
ARMS/HYBRIDS,19322.5,*,7412.3,*,*,VOLUME OF TRADES (000'S),FHLMC,01/10/2019
ARMS/HYBRIDS,151,*,9,*,*,NUMBER OF TRADES,FHLMC,01/10/2019
ARMS/HYBRIDS,102.2,*,101.3,0,0,AVERAGE PRICE,GNMA,01/10/2019
ARMS/HYBRIDS,102.5,*,101.7,0,0,WEIGHTED AVG. PRICE,GNMA,01/10/2019
ARMS/HYBRIDS,101.8,*,100.4,0,0,AVG. PRICE BOTTOM 5 TRADES,GNMA,01/10/2019
ARMS/HYBRIDS,102,*,101.3,0,0,2ND QUARTILE PRICE,GNMA,01/10/2019
ARMS/HYBRIDS,102.3,*,101.3,0,0,3RD QUARTILE PRICE,GNMA,01/10/2019
ARMS/HYBRIDS,102.6,*,102.5,0,0,4TH QUARTILE PRICE,GNMA,01/10/2019
ARMS/HYBRIDS,102.6,*,102.3,0,0,AVG. PRICE TOP 5 TRADES,GNMA,01/10/2019
ARMS/HYBRIDS,0.4,*,0.9,0,0,STANDARD DEVIATION,GNMA,01/10/2019
ARMS/HYBRIDS,3305,*,119692,0,0,VOLUME OF TRADES (000'S),GNMA,01/10/2019
ARMS/HYBRIDS,17,*,18,0,0,NUMBER OF TRADES,GNMA,01/10/2019
ARMS/HYBRIDS,101.3,0,*,*,*,AVERAGE PRICE,FNMA,01/11/2019
ARMS/HYBRIDS,102.6,0,*,*,*,WEIGHTED AVG. PRICE,FNMA,01/11/2019
ARMS/HYBRIDS,99.8,0,*,*,*,AVG. PRICE BOTTOM 5 TRADES,FNMA,01/11/2019
ARMS/HYBRIDS,100,0,*,*,*,2ND QUARTILE PRICE,FNMA,01/11/2019
ARMS/HYBRIDS,102.6,0,*,*,*,3RD QUARTILE PRICE,FNMA,01/11/2019
ARMS/HYBRIDS,103.1,0,*,*,*,4TH QUARTILE PRICE,FNMA,01/11/2019
ARMS/HYBRIDS,103.1,0,*,*,*,AVG. PRICE TOP 5 TRADES,FNMA,01/11/2019
ARMS/HYBRIDS,1.9,0,*,*,*,STANDARD DEVIATION,FNMA,01/11/2019
ARMS/HYBRIDS,979.1,0,*,*,*,VOLUME OF TRADES (000'S),FNMA,01/11/2019
ARMS/HYBRIDS,14,0,*,*,*,NUMBER OF TRADES,FNMA,01/11/2019
ARMS/HYBRIDS,103.8,*,*,*,*,AVERAGE PRICE,FHLMC,01/11/2019
ARMS/HYBRIDS,103.9,*,*,*,*,WEIGHTED AVG. PRICE,FHLMC,01/11/2019
ARMS/HYBRIDS,103.8,*,*,*,*,AVG. PRICE BOTTOM 5 TRADES,FHLMC,01/11/2019
ARMS/HYBRIDS,*,*,*,*,*,2ND QUARTILE PRICE,FHLMC,01/11/2019
ARMS/HYBRIDS,*,*,*,*,*,3RD QUARTILE PRICE,FHLMC,01/11/2019
ARMS/HYBRIDS,*,*,*,*,*,4TH QUARTILE PRICE,FHLMC,01/11/2019
ARMS/HYBRIDS,103.8,*,*,*,*,AVG. PRICE TOP 5 TRADES,FHLMC,01/11/2019
ARMS/HYBRIDS,0.7,*,*,*,*,STANDARD DEVIATION,FHLMC,01/11/2019
ARMS/HYBRIDS,19145,*,*,*,*,VOLUME OF TRADES (000'S),FHLMC,01/11/2019
ARMS/HYBRIDS,146,*,*,*,*,NUMBER OF TRADES,FHLMC,01/11/2019
ARMS/HYBRIDS,*,*,101.2,0,0,AVERAGE PRICE,GNMA,01/11/2019
ARMS/HYBRIDS,*,*,101.5,0,0,WEIGHTED AVG. PRICE,GNMA,01/11/2019
ARMS/HYBRIDS,*,*,100.5,0,0,AVG. PRICE BOTTOM 5 TRADES,GNMA,01/11/2019
ARMS/HYBRIDS,*,*,101.4,0,0,2ND QUARTILE PRICE,GNMA,01/11/2019
ARMS/HYBRIDS,*,*,101.4,0,0,3RD QUARTILE PRICE,GNMA,01/11/2019
ARMS/HYBRIDS,*,*,102.6,0,0,4TH QUARTILE PRICE,GNMA,01/11/2019
ARMS/HYBRIDS,*,*,101.9,0,0,AVG. PRICE TOP 5 TRADES,GNMA,01/11/2019
ARMS/HYBRIDS,*,*,1,0,0,STANDARD DEVIATION,GNMA,01/11/2019
ARMS/HYBRIDS,*,*,34817,0,0,VOLUME OF TRADES (000'S),GNMA,01/11/2019
ARMS/HYBRIDS,*,*,10,0,0,NUMBER OF TRADES,GNMA,01/11/2019
ARMS/HYBRIDS,102.3,0,*,101.7,100.4,AVERAGE PRICE,FNMA,01/14/2019
ARMS/HYBRIDS,102.7,0,*,102.3,101.7,WEIGHTED AVG. PRICE,FNMA,01/14/2019
ARMS/HYBRIDS,102,0,*,101.7,100,AVG. PRICE BOTTOM 5 TRADES,FNMA,01/14/2019
ARMS/HYBRIDS,101.9,0,*,*,99.9,2ND QUARTILE PRICE,FNMA,01/14/2019
ARMS/HYBRIDS,102,0,*,*,102.4,3RD QUARTILE PRICE,FNMA,01/14/2019
ARMS/HYBRIDS,103,0,*,*,102.5,4TH QUARTILE PRICE,FNMA,01/14/2019
ARMS/HYBRIDS,102.5,0,*,101.7,100.8,AVG. PRICE TOP 5 TRADES,FNMA,01/14/2019
ARMS/HYBRIDS,0.7,0,*,1.8,1.7,STANDARD DEVIATION,FNMA,01/14/2019
