AssetClass,AssetClass2,IGTradeCount,IGUniqueID,IG$Trades,HYTradeCount,HYUniqueID,HY$Trades,Date
NON-AGENCY CMBS,P&I,129,87,672178.1,30,16,138462.2,20190308
NON-AGENCY CMBS,IO/PO,*,*,*,0,0,0,20190308
AGENCY CMBS,P&I,66,46,275339.3,59,36,174597.5,20190308
AGENCY CMBS,IO/PO,*,*,*,14,9,1258139.9,20190308
AGENCY CMBS,ABS,317,211,1172883.6,50,31,112328.6,20190308
CBO/CDO/CLO,CBO/CDO/CLO,61,43,523321.6,40,29,130874.4,20190308
OTHER,OTHER,*,*,*,0,0,0,20190308
AssetClass,AssetClass2,IGTradeCount,IGUniqueID,IG$Trades,HYTradeCount,HYUniqueID,HY$Trades,Date
NON-AGENCY CMO,P&I,109,60,116642.4,325,155,105377.7,20190311
NON-AGENCY CMO,IO/PO,0,0,0,0,0,0,20190311
NON-AGENCY CMBS,P&I,154,109,616241.9,27,16,61870.7,20190311
NON-AGENCY CMBS,IO/PO,*,*,*,*,*,*,20190311
AGENCY CMBS,P&I,66,39,147182.8,101,42,262797.4,20190311
AGENCY CMBS,IO/PO,*,*,*,8,7,457112.7,20190311
AGENCY CMBS,ABS,383,264,953540.5,58,31,118623.7,20190311
CBO/CDO/CLO,CBO/CDO/CLO,60,38,320603.8,26,17,81846.3,20190311
OTHER,OTHER,*,*,*,*,*,*,20190311
AssetClass,AssetClass2,IGTradeCount,IGUniqueID,IG$Trades,HYTradeCount,HYUniqueID,HY$Trades,Date
NON-AGENCY CMO,P&I,177,93,237853.7,357,184,357079.5,20190312
NON-AGENCY CMO,IO/PO,*,*,*,*,*,*,20190312
NON-AGENCY CMBS,P&I,202,132,628274,27,18,68355.2,20190312
NON-AGENCY CMBS,IO/PO,*,*,*,0,0,0,20190312
AGENCY CMBS,P&I,73,41,233727.1,94,53,313467.4,20190312
AGENCY CMBS,IO/PO,*,*,*,17,10,803569.7,20190312
AGENCY CMBS,ABS,412,288,948223.1,77,47,362590.3,20190312
CBO/CDO/CLO,CBO/CDO/CLO,37,28,115693.8,46,25,202073.3,20190312
OTHER,OTHER,0,0,0,*,*,*,20190312
AssetClass,AssetClass2,IGTradeCount,IGUniqueID,IG$Trades,HYTradeCount,HYUniqueID,HY$Trades,Date
NON-AGENCY CMO,P&I,120,70,354251.4,361,181,430130,20190313
NON-AGENCY CMO,IO/PO,11,11,1202227.7,*,*,*,20190313
NON-AGENCY CMBS,P&I,254,144,741769.9,31,18,129822.6,20190313
NON-AGENCY CMBS,IO/PO,40,19,528751.5,*,*,*,20190313
AGENCY CMBS,P&I,45,30,105699.1,98,60,539059,20190313
AGENCY CMBS,IO/PO,0,0,0,15,10,916692.2,20190313
AGENCY CMBS,ABS,495,368,1425109.6,52,39,176459.7,20190313
CBO/CDO/CLO,CBO/CDO/CLO,90,55,539575.3,30,19,104292.3,20190313
OTHER,OTHER,*,*,*,0,0,0,20190313
AssetClass,AssetClass2,IGTradeCount,IGUniqueID,IG$Trades,HYTradeCount,HYUniqueID,HY$Trades,Date
NON-AGENCY CMO,P&I,94,50,191611.3,354,182,737171,20190314
NON-AGENCY CMO,IO/PO,6,2,229.1,5,1,75.1,20190314
NON-AGENCY CMBS,P&I,182,134,568403,128,25,125620.7,20190314
NON-AGENCY CMBS,IO/PO,5,4,18360.7,*,*,*,20190314
AGENCY CMBS,P&I,49,34,132561,89,59,530988.1,20190314
AGENCY CMBS,IO/PO,0,0,0,6,4,192541,20190314
AGENCY CMBS,ABS,309,208,955995.8,64,45,88877.7,20190314
CBO/CDO/CLO,CBO/CDO/CLO,78,47,425167.5,36,28,133574,20190314
OTHER,OTHER,0,0,0,0,0,0,20190314
AssetClass,AssetClass2,IGTradeCount,IGUniqueID,IG$Trades,HYTradeCount,HYUniqueID,HY$Trades,Date
NON-AGENCY CMO,P&I,61,35,312461.9,237,124,455349,20190315
NON-AGENCY CMO,IO/PO,0,0,0,29,5,2859.6,20190315
NON-AGENCY CMBS,P&I,115,76,428252.8,42,12,95062.9,20190315
NON-AGENCY CMBS,IO/PO,11,7,951145.9,*,*,*,20190315
AGENCY CMBS,P&I,42,27,171135.1,67,37,331810.1,20190315
AGENCY CMBS,IO/PO,6,4,209745,6,4,271412.1,20190315
AGENCY CMBS,ABS,302,205,971110.4,32,28,38599,20190315
CBO/CDO/CLO,CBO/CDO/CLO,44,31,208443,33,21,143694.3,20190315
OTHER,OTHER,0,0,0,0,0,0,20190315
AssetClass,AssetClass2,IGTradeCount,IGUniqueID,IG$Trades,HYTradeCount,HYUniqueID,HY$Trades,Date
NON-AGENCY CMO,P&I,57,28,37114,213,111,87544.6,20190318
NON-AGENCY CMO,IO/PO,0,0,0,0,0,0,20190318
NON-AGENCY CMBS,P&I,146,102,547852.4,60,29,283032.9,20190318
NON-AGENCY CMBS,IO/PO,15,11,104494.5,*,*,*,20190318
AGENCY CMBS,P&I,71,36,289224.2,71,41,112598.4,20190318
AGENCY CMBS,IO/PO,12,6,8040.1,45,16,134028.4,20190318
AGENCY CMBS,ABS,445,313,1205423.9,31,24,22258.1,20190318
CBO/CDO/CLO,CBO/CDO/CLO,76,58,274974.3,20,14,92458.9,20190318
OTHER,OTHER,0,0,0,0,0,0,20190318
AssetClass,AssetClass2,IGTradeCount,IGUniqueID,IG$Trades,HYTradeCount,HYUniqueID,HY$Trades,Date
NON-AGENCY CMO,P&I,105,60,327886.7,422,196,431606.3,20190319
NON-AGENCY CMO,IO/PO,0,0,0,17,8,646,20190319
NON-AGENCY CMBS,P&I,246,144,803299.6,50,23,146611.3,20190319
NON-AGENCY CMBS,IO/PO,8,3,13783.8,*,*,*,20190319
AGENCY CMBS,P&I,63,33,295020.2,107,65,593613.1,20190319
AGENCY CMBS,IO/PO,12,5,252331.7,11,4,154787.3,20190319
AGENCY CMBS,ABS,385,270,1960043.2,69,42,301598,20190319
CBO/CDO/CLO,CBO/CDO/CLO,76,51,410873.7,35,19,122093.8,20190319
OTHER,OTHER,*,*,*,0,0,0,20190319
AssetClass,AssetClass2,IGTradeCount,IGUniqueID,IG$Trades,HYTradeCount,HYUniqueID,HY$Trades,Date
NON-AGENCY CMO,P&I,59,37,202923.1,297,135,384098.2,20190320
NON-AGENCY CMO,IO/PO,0,0,0,*,*,*,20190320
NON-AGENCY CMBS,P&I,176,124,651551.1,37,26,159153.5,20190320
NON-AGENCY CMBS,IO/PO,*,*,*,*,*,*,20190320
AGENCY CMBS,P&I,59,42,227767.7,54,38,108781.4,20190320
AGENCY CMBS,IO/PO,*,*,*,10,7,844556.6,20190320
AGENCY CMBS,ABS,515,318,1614930.8,94,67,108301.3,20190320
CBO/CDO/CLO,CBO/CDO/CLO,99,62,296185.2,41,29,176241.8,20190320
OTHER,OTHER,0,0,0,0,0,0,20190320
AssetClass,AssetClass2,IGTradeCount,IGUniqueID,IG$Trades,HYTradeCount,HYUniqueID,HY$Trades,Date
NON-AGENCY CMO,P&I,78,45,321035.5,361,179,418497.8,20190321
NON-AGENCY CMO,IO/PO,0,0,0,7,3,30623.5,20190321
NON-AGENCY CMBS,P&I,289,158,1462250.6,48,21,215427,20190321
NON-AGENCY CMBS,IO/PO,0,0,0,*,*,*,20190321
AGENCY CMBS,P&I,51,33,181452.4,87,52,557906.5,20190321
AGENCY CMBS,IO/PO,0,0,0,16,11,383008.4,20190321
AGENCY CMBS,ABS,475,302,1531122,82,59,166622.8,20190321
CBO/CDO/CLO,CBO/CDO/CLO,62,38,333922.5,31,22,134214.4,20190321
OTHER,OTHER,*,*,*,0,0,0,20190321
AssetClass,AssetClass2,IGTradeCount,IGUniqueID,IG$Trades,HYTradeCount,HYUniqueID,HY$Trades,Date
NON-AGENCY CMO,P&I,55,35,157223.9,220,114,206105.2,20190322
NON-AGENCY CMO,IO/PO,0,0,0,0,0,0,20190322
NON-AGENCY CMBS,P&I,127,108,567944.8,67,14,63320.1,20190322
NON-AGENCY CMBS,IO/PO,18,14,73193,*,*,*,20190322
AGENCY CMBS,P&I,43,33,164733.8,87,60,729936.1,20190322
AGENCY CMBS,IO/PO,*,*,*,9,4,575327.7,20190322
AGENCY CMBS,ABS,346,237,1144501.8,41,33,100097.7,20190322
CBO/CDO/CLO,CBO/CDO/CLO,47,33,117880,24,12,144563.1,20190322
OTHER,OTHER,0,0,0,0,0,0,20190322
AssetClass,AssetClass2,IGTradeCount,IGUniqueID,IG$Trades,HYTradeCount,HYUniqueID,HY$Trades,Date
NON-AGENCY CMO,P&I,91,48,173231,273,143,166890.4,20190325
NON-AGENCY CMO,IO/PO,0,0,0,0,0,0,20190325
NON-AGENCY CMBS,P&I,153,119,703103.7,92,18,161936.9,20190325
NON-AGENCY CMBS,IO/PO,*,*,*,5,3,32839.7,20190325
AGENCY CMBS,P&I,67,35,190204.8,113,55,325630.6,20190325
AGENCY CMBS,IO/PO,5,4,20930.2,10,7,1128954.3,20190325
AGENCY CMBS,ABS,387,280,1483031.9,48,29,148553.8,20190325
CBO/CDO/CLO,CBO/CDO/CLO,44,36,128326.4,24,16,97826.5,20190325
OTHER,OTHER,0,0,0,0,0,0,20190325
AssetClass,AssetClass2,IGTradeCount,IGUniqueID,IG$Trades,HYTradeCount,HYUniqueID,HY$Trades,Date
NON-AGENCY CMO,P&I,132,72,260358,510,218,395357,20190326
NON-AGENCY CMO,IO/PO,0,0,0,*,*,*,20190326
NON-AGENCY CMBS,P&I,262,169,994945.7,98,24,268979.2,20190326
NON-AGENCY CMBS,IO/PO,*,*,*,*,*,*,20190326
AGENCY CMBS,P&I,94,46,360827.3,128,68,899582.4,20190326
AGENCY CMBS,IO/PO,6,4,12299.6,22,12,358387.9,20190326
AGENCY CMBS,ABS,503,308,1227803.1,55,33,236356.9,20190326
CBO/CDO/CLO,CBO/CDO/CLO,43,34,174626.8,39,26,155390.1,20190326
OTHER,OTHER,0,0,0,0,0,0,20190326
AssetClass,AssetClass2,IGTradeCount,IGUniqueID,IG$Trades,HYTradeCount,HYUniqueID,HY$Trades,Date
NON-AGENCY CMO,P&I,91,51,141932.2,529,195,324965.4,20190327
NON-AGENCY CMO,IO/PO,*,*,*,*,*,*,20190327
NON-AGENCY CMBS,P&I,266,168,830430.3,67,28,307538.9,20190327
NON-AGENCY CMBS,IO/PO,22,13,895999.5,*,*,*,20190327
AGENCY CMBS,P&I,87,45,112719.1,127,71,1105154.8,20190327
AGENCY CMBS,IO/PO,0,0,0,9,5,258272.9,20190327
AGENCY CMBS,ABS,442,292,1403171.6,52,37,314737.6,20190327
CBO/CDO/CLO,CBO/CDO/CLO,54,40,158666,54,21,213713.5,20190327
OTHER,OTHER,0,0,0,*,*,*,20190327
AssetClass,AssetClass2,IGTradeCount,IGUniqueID,IG$Trades,HYTradeCount,HYUniqueID,HY$Trades,Date
NON-AGENCY CMO,P&I,83,46,141229.3,450,187,361080.2,20190328
NON-AGENCY CMO,IO/PO,0,0,0,32,7,160236.1,20190328
NON-AGENCY CMBS,P&I,161,111,650428.9,47,13,124390.2,20190328
NON-AGENCY CMBS,IO/PO,5,5,73653,8,2,604123,20190328
AGENCY CMBS,P&I,63,39,239574.8,70,43,720595.3,20190328
AGENCY CMBS,IO/PO,*,*,*,23,11,169275.9,20190328
AGENCY CMBS,ABS,356,246,871456.6,108,28,153748.6,20190328
CBO/CDO/CLO,CBO/CDO/CLO,65,43,472572.5,58,46,247079.9,20190328
OTHER,OTHER,0,0,0,0,0,0,20190328
AssetClass,AssetClass2,IGTradeCount,IGUniqueID,IG$Trades,HYTradeCount,HYUniqueID,HY$Trades,Date
NON-AGENCY CMO,P&I,69,44,195764.3,428,195,101403.3,20190329
NON-AGENCY CMO,IO/PO,*,*,*,8,4,63838.8,20190329
NON-AGENCY CMBS,P&I,119,95,237912,66,26,195926.6,20190329
NON-AGENCY CMBS,IO/PO,*,*,*,*,*,*,20190329
AGENCY CMBS,P&I,70,48,279748.4,84,54,150476.5,20190329
AGENCY CMBS,IO/PO,0,0,0,7,4,38919.6,20190329
AGENCY CMBS,ABS,372,262,1090129,68,21,243792.3,20190329
CBO/CDO/CLO,CBO/CDO/CLO,57,38,260788.1,36,22,98260.6,20190329
OTHER,OTHER,0,0,0,0,0,0,20190329
AssetClass,AssetClass2,IGTradeCount,IGUniqueID,IG$Trades,HYTradeCount,HYUniqueID,HY$Trades,Date
NON-AGENCY CMO,P&I,81,45,44061.3,324,149,130579.5,20190401
NON-AGENCY CMO,IO/PO,0,0,0,*,*,*,20190401
NON-AGENCY CMBS,P&I,160,121,466626.7,14,10,58426.3,20190401
NON-AGENCY CMBS,IO/PO,8,6,37377.5,*,*,*,20190401
AGENCY CMBS,P&I,60,33,162911.7,42,28,110441.8,20190401
AGENCY CMBS,IO/PO,*,*,*,*,*,*,20190401
AGENCY CMBS,ABS,291,209,481721.3,131,30,63373.2,20190401
CBO/CDO/CLO,CBO/CDO/CLO,55,32,163048,38,17,115478.8,20190401
