Mortgage Type,<= 2.5 ,3,3.5,4,4.5,5,> 5.0,Measure,Agency,Date
SINGLE FAMILY 30Y,*,101.4,102.5,104.1,105.3,108.8,111.1,4TH QUARTILE PRICE,FHLMC,20190603
SINGLE FAMILY 30Y,*,101.7,103.1,105.4,106.9,109.2,109.2,AVG. PRICE TOP 5 TRADES,FHLMC,20190603
SINGLE FAMILY 30Y,*,0.8,0.8,1,1.1,2.1,5.7,STANDARD DEVIATION,FHLMC,20190603
SINGLE FAMILY 30Y,*,489499.3,77243.3,481163.4,23687.4,122649,432,VOLUME OF TRADES (000'S),FHLMC,20190603
SINGLE FAMILY 30Y,*,53,82,105,64,29,10,NUMBER OF TRADES,FHLMC,20190603
SINGLE FAMILY 30Y,*,101.6,102.3,104.2,104.9,104.3,103.5,AVERAGE PRICE,GNMA,20190603
SINGLE FAMILY 30Y,*,101.8,103,104,104.3,105.3,106.8,WEIGHTED AVG. PRICE,GNMA,20190603
SINGLE FAMILY 30Y,*,100.4,97.1,101.3,100.6,99.4,82.7,AVG. PRICE BOTTOM 5 TRADES,GNMA,20190603
SINGLE FAMILY 30Y,*,101.6,101.9,103.8,104.1,103.5,100,2ND QUARTILE PRICE,GNMA,20190603
SINGLE FAMILY 30Y,*,101.7,102.9,103.9,104.7,105,105.8,3RD QUARTILE PRICE,GNMA,20190603
SINGLE FAMILY 30Y,*,101.9,103,105.3,106.1,105.3,108.6,4TH QUARTILE PRICE,GNMA,20190603
SINGLE FAMILY 30Y,*,102.3,103.6,106.6,108.5,109.4,113.1,AVG. PRICE TOP 5 TRADES,GNMA,20190603
SINGLE FAMILY 30Y,*,0.6,1.7,1.2,2,2.5,7.2,STANDARD DEVIATION,GNMA,20190603
SINGLE FAMILY 30Y,*,2504699.1,4717241.3,3181889.6,1468657.4,135093,34714.8,VOLUME OF TRADES (000'S),GNMA,20190603
SINGLE FAMILY 30Y,*,62,80,112,87,63,266,NUMBER OF TRADES,GNMA,20190603
SINGLE FAMILY 15Y,99.9,101.4,102,103.1,103.9,*,*,AVERAGE PRICE,UMBS,20190604
